Category,Type,Difficulty,Question,Answer,Incorred Answers
Entertainment: Television,multiple,medium,SW4gIlN0YXIgVHJlayIsIHdoYXQgaXMgdGhlIEZlcmVuZ2kncyBGaXJzdCBSdWxlIG9mIEFjcXVpc2l0aW9uPw==,T25jZSB5b3UgaGF2ZSB0aGVpciBtb25leSwgeW91IG5ldmVyIGdpdmUgaXQgYmFjay4g,"['TmV2ZXIgcGxhY2UgZnJpZW5kc2hpcCBhYm92ZSBwcm9maXQ=', 'R3JlZWQgaXMgRXRlcm5hbA==', 'TmV2ZXIgYWxsb3cgZmFtaWx5IHRvIHN0YW5kIGluIHRoZSB3YXkgb2Ygb3Bwb3J0dW5pdHk=']"
Entertainment: Television,boolean,medium,S2xpbmdvbnMgcmVzcGVjdCB0aGVpciBkaXNhYmxlZCBjb21yYWRlcywgYW5kIHRob3NlIHdobyBhcmUgb2xkLCBpbmp1cmllZCwgYW5kIGhlbHBsZXNzLg==,RmFsc2U=,['VHJ1ZQ==']
Entertainment: Television,boolean,easy,S2xpbmdvbnMgZXhwcmVzcyBlbW90aW9uIGluIGFydCB0aHJvdWdoIG9wZXJhIGFuZCBwb2V0cnku,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,hard,V2hhdCBpcyB0aGUgS2xpbmdvbidzIGFmdGVybGlmZSBjYWxsZWQ\/,U3RvLXZvLWtvcg==,"['VmFsaGFsbGE=', 'S2Fyb24nZ2Foaw==', 'TmV3IEplcnNleQ==']"
Entertainment: Television,multiple,hard,SW4gIlN0YXIgVHJlayIsIHdobyB3YXMgdGhlIGZvdW5kZXIgb2YgdGhlIEtsaW5nb24gRW1waXJlIGFuZCBpdHMgcGhpbG9zb3BoeT8=,S2FobGVzcyB0aGUgVW5mb3JnZXR0YWJsZQ==,"['TGFkeSBMdWthcmEgb2YgdGhlIEdyZWF0IEhhbGw=', 'TW9sb3IgdGhlIFVuZm9yZ2l2aW5n', 'RGFoYXIgTWFzdGVyIEtvcg==']"
Entertainment: Television,boolean,easy,SW4gIlN0YXIgVHJlayIsIEtsYWFuZyBpcyBhIHR5cGljYWwgS2xpbmdvbiBtYWxlLg==,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,medium,SW4gIlN0YXIgVHJlayIsIHdoYXQgaXMgdGhlIEtsaW5nb24gZGVhdGggcml0dWFsPw==,TG9vayBpbnRvIHNreSBhbmQgeWVsbCBsb3VkbHkgaW4gbW91cm5pbmcu,"['S2lzcyB0aGUgamFnZ2VkIGZvcmVoZWFkIGJlZm9yZSBidXJpYWwu', 'U2hvb3QgaW50byBzcGFjZSBpbiBhIHRvcnBlZG8gY2FzaW5nLg==', 'U3BsaXQgdGhlIGRlY2Vhc2VkJ3MgZWFybmluZ3MgYmV0d2VlbiBibG9vZGtpbi4=']"
Entertainment: Television,multiple,easy,SG93IG1hbnkgc2Vhc29ucyBkaWQgdGhlIFNjaS1GaSB0ZWxldmlzaW9uIHNob3cgIlN0YXJnYXRlIFVuaXZlcnNlIiBoYXZlPw==,Mg==,"['MTA=', 'NQ==', 'Mw==']"
Entertainment: Television,boolean,easy,SW4gIkRvY3RvciBXaG8iLCB0aGUgRG9jdG9yIGdldHMgaGlzIFRBUkRJUyBieSBzdGVhbGluZyBpdC4=,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,easy,V2hhdCBpcyB0aGUgbmFtZSBvZiB0aGUgcGxhbmV0IHRoYXQgdGhlIERvY3RvciBmcm9tIHRlbGV2aXNpb24gc2VyaWVzICJEb2N0b3IgV2hvIiBjb21lcyBmcm9tPw==,R2FsbGlmcmV5,"['U29udGFy', 'U2thcm8=', 'TW9uZGFz']"
Entertainment: Television,multiple,easy,V2hvIHBsYXllZCB0aGUgV2FpdHJlc3MgaW4gdGhlIFNwYW0gc2tldGNoIG9mICJNb250eSBQeXRob24ncyBGbHlpbmcgQ2lyY3VzIj8=,VGVycnkgSm9uZXM=,"['RXJpYyBJZGxl', 'R3JhaGFtIENoYXBtYW4=', 'Sm9obiBDbGVlc2U=']"
Entertainment: Television,multiple,hard,V2hpY2ggb2YgdGhlIGZvbGxvd2luZyBhY3RvcnMgcG9ydHJheWVkIHRoZSBOaW50aCBEb2N0b3IgaW4gdGhlIEJyaXRpc2ggdGVsZXZpc2lvbiBzaG93ICJEb2N0b3IgV2hvIj8=,Q2hyaXN0b3BoZXIgRWNjbGVzdG9u,"['RGF2aWQgVGVubmFudA==', 'TWF0dCBTbWl0aA==', 'VG9tIEJha2Vy']"
Entertainment: Television,multiple,hard,SW4gc2Vhc29uIG9uZSBvZiB0aGUgVVMgS2l0Y2hlbiBOaWdodG1hcmVzLCBHb3JkYW4gUmFtc2F5IHRyaWVkIHRvIHNhdmUgMTAgZGlmZmVyZW50IHJlc3RhdXJhbnRzLiBIb3cgbWFueSBlbmRlZCB1cCBjbG9zaW5nIGFmdGVyd2FyZHM\/,OQ==,"['Ng==', 'Mw==', 'MA==']"
Entertainment: Television,multiple,easy,SW4gdGhlIFRWIHNob3cgIk1hZCBNZW4iLCB3aGF0IHdhcyBEb25hbGQgRHJhcGVyJ3MgYmlydGhuYW1lPw==,UmljaGFyZCAiRGljayIgV2hpdG1hbg==,"['RG9uYWxkIERyYXBlcg==', 'Sm9obiBBc2hidXJ5', 'TWljaGFlbCAiTWlrZXkiIFdpbGhlbG0=']"
Entertainment: Television,multiple,easy,V2hpY2ggYWN0b3IgcG9ydHJheXMgIldhbHRlciBXaGl0ZSIgaW4gdGhlIHNlcmllcyAiQnJlYWtpbmcgQmFkIj8=,IEJyeWFuIENyYW5zdG9u,"['QW5kcmV3IExpbmNvbG4=', 'QWFyb24gUGF1bA==', 'UkogTWl0dGU=']"
Entertainment: Television,multiple,medium,SW4gIlRoZSBTaW1wc29ucyIsIHdoYXQgaXMgdGhlIHJlYWwgbmFtZSBvZiAiQ29taWMgQm9vayBHdXkiPw==,SmVmZiBBbGJlcnRzb24=,"['Q29taWMgQm9vayBHdXk=', 'RWR3YXJkIFN0b25l', 'SmFjayBSaWNoYXJkc29u']"
Entertainment: Television,multiple,easy,V2hpY2ggb2YgdGhlIGZvbGxvd2luZyB3b24gdGhlIGZpcnN0IHNlYXNvbiBvZiBBbWVyaWNhbiBJZG9sIGluIDIwMDI\/,S2VsbHkgQ2xhcmtzb24=,"['SnVzdGluIEd1YXJpbmk=', 'UnViZW4gU3R1ZGRhcmQ=', 'Q2hyaXMgRGF1Z2h0cnk=']"
Entertainment: Television,multiple,easy,VGhlIEhCTyBzZXJpZXMgIkdhbWUgb2YgVGhyb25lcyIgaXMgYmFzZWQgb24gd2hpY2ggc2VyaWVzIG9mIGJvb2tzPw==,QSBTb25nIG9mIEljZSBhbmQgRmlyZQ==,"['VGhlIFdoZWVsIG9mIFRpbWU=', 'SGFycnkgUG90dGVy', 'VGhlIE5vdGVib29r']"
Entertainment: Television,multiple,easy,SW4gQU1DJ3MgVFYgU2VyaWVzICJUaGUgV2Fsa2luZyBEZWFkIiB3aGF0IGFyZSAiWm9tYmllcyIgcmVmZXJyZWQgdG8gYXM\/,V2Fsa2Vycw==,"['Q3JlZXBlcnM=', 'TWFnZ290cw==', 'SGVsbCBQaWdz']"
Entertainment: Television,multiple,hard,V2hpY2ggZm9ybWVyIENvcm9uYXRpb24gU3RyZWV0IGFjdHJlc3Mgd2FzIG9uY2UgYSBob3N0ZXNzIG9uIHRoZSBCcml0aXNoIEdhbWUgU2hvdyAiRG91YmxlIFlvdXIgTW9uZXkiPw==,QW1hbmRhIEJhcnJpZQ==,"['U3VlIE5pY2hvbGxz', 'VmlvbGV0IENhcnNvbg==', 'SmVhbiBBbGV4YW5kZXI=']"
Entertainment: Television,multiple,medium,V2hpY2ggYm94aW5nIHBlcnNvbmFsaXR5IHdhcyBvbmUgb2YgdGhlIHByZXNlbnRlcnMgaW4gdGhlIDE5OTkgcmV2aXZhbCBvZiBJdCdzIGEgS25vY2tvdXQ\/,RnJhbmsgQnJ1bm8=,"['SGVucnkgQ29vcGVy', 'TXVoYW1tYWQgQWxp', 'Sm9lIEZyYWlzZXI=']"
Entertainment: Television,multiple,medium,QmFyb24gU2lsYXMgR3JlZW5iYWNrIGlzIHRoZSBhcmNoIG5lbWVzaXMgb2Ygd2hpY2ggY2FydG9vbiBoZXJvPw==,RGFuZ2VyIE1vdXNl,"['QmFuYW5hbWFu', 'U3VwZXJUZWQ=', 'Q2FwdGFpbiBTdGFy']"
Entertainment: Television,multiple,medium,Q2VzYXIgUm9tZXJvIHBsYXllZCB3aGljaCBpY29uaWMgQmF0bWFuIHZpbGxhaW4gZnJvbSB0aGUgMTk2MCdzIFRWIHNob3c\/,VGhlIEpva2Vy,"['VGhlIFBlbmd1aW4=', 'VGhlIFJpZGRsZXI=', 'TXIuIEZyZWV6ZQ==']"
Entertainment: Television,multiple,easy,V2hhdCB3YXMgdGhlIG5hbWUgb2YgdGhlIHRlZW5hZ2Ugd2l0Y2ggcGxheWVkIGJ5IE1lbGlzYSBKb2FuIEhhcnQgd2hvIGxpdmVzIHdpdGggaGVyIHdpdGNoIGF1bnRzIEhpbGRhIGFuZCBaZWxkYT8=,U2FicmluYQ==,"['SGVybWlvbmU=', 'RG9yb3RoeQ==', 'RGFobGlh']"
Entertainment: Television,multiple,easy,SW4gd2hpY2ggc3RhdGUgb2YgQW1lcmljYSB3YXMgdGhlIEZyZXNoIFByaW5jZSBvZiBCZWwtQWlyIGJvcm4gYW5kIHJhaXNlZCBpbj8=,UGVubnN5bHZhbmlh,"['RmxvcmlkYQ==', 'Q2FsaWZvcm5pYQ==', 'TmV3IEplcnNleQ==']"
Entertainment: Television,multiple,medium,SW4gdGhlIERvY3RvciBXaG8gdW5pdmVyc2UsIGhvdyBtYW55IHRpbWVzIGNhbiBhIHRpbWUgbG9yZCBub3JtYWxseSByZWdlbmVyYXRlPw==,MTI=,"['MTE=', 'MTM=', 'MTU=']"
Entertainment: Television,multiple,easy,V2hhdCB3YXMgdGhlIG5hbWUgb2YgdGhlIHBvbGljZSBvZmZpY2VyIGluIHRoZSBjYXJ0b29uICJUb3AgQ2F0Ij8=,RGliYmxl,"['QmFyYnJhZHk=', 'TWFob25leQ==', 'TXVycGh5']"
Entertainment: Television,multiple,easy,V2hpY2ggY2hhcmFjdGVyIHdhcyBwbGF5ZWQgYnkgRHVzdGluIERpYW1vbmQgaW4gdGhlIHNpdGNvbSAnU2F2ZWQgYnkgdGhlIEJlbGwnPw==,U2NyZWVjaA==,"['WmFjaw==', 'TXIuIEJlbGRpbmc=', 'QS5DLiBTbGF0ZXI=']"
Entertainment: Television,multiple,medium,V2hpY2ggdHJhY2sgYnkgIk1hc3NpdmUgQXR0YWNrIiBpcyB1c2VkIGZvciB0aGUgdGhlbWUgb2YgIkhvdXNlIj8g,VGVhcmRyb3A=,"['UHJvdGVjdGlvbg==', 'QW5nZWw=', 'QmxhY2sgTWlsaw==']"
Entertainment: Television,multiple,easy,V2hvIHBsYXllZCBBZ2VudCBGb3ggTXVsZGVyIGluIHRoZSBUViBzY2ktZmkgZHJhbWEgIlRoZSBYLUZpbGVzIj8=,RGF2aWQgRHVjaG92bnk=,"['R2lsbGlhbiBBbmRlcnNvbg==', 'Um9iZXJ0IFBhdHJpY2s=', 'TWl0Y2ggUGlsZWdnaQ==']"
Entertainment: Television,multiple,easy,SW4gd2hpY2ggQnJpdGlzaCBzZWFzaWRlIHRvd24gd2FzIHRoZSBCQkMgc2l0Y29tICJGYXdsdHkgVG93ZXJzIiBzZXQ\/,VG9ycXVheQ==,"['QmxhY2twb29s', 'Qm91cm5lbW91dGg=', 'R3JlYXQgWWFybW91dGg=']"
Entertainment: Television,multiple,medium,V2hvIHdhcyB0aGUgc3RhciBvZiB0aGUgVFYgc2VyaWVzICIyNCI\/,S2llZmVyIFN1dGhlcmxhbmQ=,"['S2V2aW4gQmFjb24=', 'SHVnaCBMYXVyaWU=', 'Um9iIExvd2U=']"
Entertainment: Television,multiple,medium,V2hhdCB3YXMgdGhlIG5hbWUgb2YgUm9zcycgcGV0IG1vbmtleSBvbiAiRnJpZW5kcyI\/,TWFyY2Vs,"['Sm9qbw==', 'R2Vvcmdl', 'Q2hhbXA=']"
Entertainment: Television,multiple,medium,V2hpY2ggY2hhcmFjdGVyIGRvZXMgdm9pY2UgYWN0cmVzcyBUYXJhIFN0cm9uZyBOT1Qgdm9pY2U\/,QnViYmxlcyAoMjAxNik=,"['VHdpbGlnaHQgU3BhcmtsZQ==', 'VGltbXkgVHVybmVy', 'SGFybGV5IFF1aW5u']"
Entertainment: Television,boolean,medium,VGhlIHRlbGV2aXNpb24gc2hvdyBEb2N0b3IgV2hvIGZpcnN0IGFpcmVkIGluIDE5NjMu,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,easy,VGhlICJQc3ljaG8iIHNlcmllcyBvZiB2aWRlb3Mgb24gWW91VHViZSB3YXMgY3JlYXRlZCBieSB3aGljaCBvZiB0aGUgZm9sbG93aW5nPw==,UmlER2lEIFNUVURpT1M=,"['RGFuIEJlbGw=', 'QmlsbHkgRmFtaWxpYQ==', 'VmVnYW5HYWlueg==']"
Entertainment: Television,multiple,medium,V2hvIGNvLWZvdW5kZWQgdGhlIFlvdVR1YmUgTGV0J3MgUGxheSBjaGFubmVsICJHYW1lIEdydW1wcyIgYWxvbmdzaWRlIE5ld2dyb3VuZHMgYW5pbWF0b3IgRWdvcmFwdG9yPw==,Sm9uVHJvbg==,"['UGV3ZGllcGll', 'VG9idXNjdXM=', 'TWFya2lwbGllcg==']"
Entertainment: Television,multiple,easy,SW4gdGhlIFN0YXIgVHJlayB1bml2ZXJzZSwgd2hhdCBjb2xvciBpcyBWdWxjYW4gYmxvb2Q\/,R3JlZW4=,"['Qmx1ZQ==', 'UmVk', 'UHVycGxl']"
Entertainment: Television,multiple,medium,SW4gTmFydXRvOiBTaGlwcHVkZW4sIHdoaWNoIG9mIHRoZSBmb2xsb3dpbmcgZWxlbWVudHMgaXMgYSAiS2Vra2VpIFTFjXRhPyI=,UGFydGljbGUgU3R5bGU=,"['QW55IERvdWp1dHN1', 'U2hhZG93IFN0eWxl', 'SWNlIFN0eWxl']"
Entertainment: Television,multiple,easy,T24gdGhlIHNob3cgIlJpY2sgYW5kIE1vcnR5IiwgaW4gZXBpc29kZSAiVG90YWwgUmlja2FsbCIsIHdobyB3YXMgYSBwYXJhc2l0ZT8=,UGVuY2lsdmVzdGVy,"['QmV0aCBTbWl0aA==', 'U3VtbWVyIFNtaXRo', 'TXIuIFBvb3B5IEJ1dHRob2xl']"
Entertainment: Television,multiple,easy,SW4gR2FtZSBvZiBUaHJvbmVzLCB3aGF0IGNvbnRpbmVudCBsaWVzIGFjcm9zcyB0aGUgTmFycm93IFNlYSBmcm9tIFdlc3Rlcm9zPw==,RXNzb3M=,"['RWFzdGVyb3M=', 'V2VzdGVyZWFzdA==', 'RXN1bnRvcw==']"
Entertainment: Television,multiple,easy,SW4gR2FtZSBvZiBUaHJvbmVzLCB3aGF0IGlzIExpdHRsZWZpbmdlcidzIHJlYWwgbmFtZT8=,UGV0eXIgQmFlbGlzaA==,"['UG9kcmljayBQYXluZQ==', 'TGFuY2VsIExhbm5pc3Rlcg==', 'VG9ycmhlbiBLYXJzdGFyaw==']"
Entertainment: Television,multiple,easy,SW4gdGhlIHNob3cgIlRlbmdlbiBUb3BwYSBHdXJyZW4gTGFnYW5uIiB3aGF0IGlzIHRoZSBuYW1lIG9mIHRoZSBjaGFyYWN0ZXIgd2hvIGZvcmNlIGV2ZXJ5b25lIHRvIGxpdmUgdW5kZXJncm91bmQ\/,TG9yZGdlbm9tZQ==,"['S2luZ2xvbmFtZQ==', 'TG9yZCBHZW5vbWU=', 'S2luZyBMb25hbWU=']"
Entertainment: Television,multiple,easy,V2hhdCBpcyB0aGUgcmVhbCBuYW1lIG9mIHRoZSBmYW1vdXMgc3BhbmlzaCBodW1vcmlzdCwgRWwgUmlzaXRhcz8=,SnVhbiBKb3lhIEJvcmdh,"['R2FicmllbCBHYXJjaWEgTWFycXVleg==', 'SmVzdXMgUXVpbnRlcm8=', 'RXJuZXN0byBHdWV2YXJh']"
Entertainment: Television,multiple,hard,SW4gU3RhciBUcmVrLCB3aGF0IGlzIHRoZSBuYW1lIG9mIFNwb2NrJ3MgZmF0aGVyPw==,U2FyZWs=,"['VHV2b2s=', 'VCdQYWw=', 'U3VyYWs=']"
Entertainment: Television,multiple,easy,SW4gU3RhciBUcmVrOiBUaGUgTmV4dCBHZW5lcmF0aW9uLCB3aGF0IGlzIHRoZSBuYW1lIG9mIERhdGEncyBjYXQ\/,U3BvdA==,"['TWl0dGVucw==', 'VG9t', 'S2l0dHk=']"
Entertainment: Television,multiple,easy,V2hvIHdvbiBCaWcgQnJvdGhlciAyMDE0IFVLPw==,SGVsZW4gV29vZA==,"['Q2hyaXN0b3BoZXIgSGFsbA==', 'UGF1bGluZSBCZW5uZXR0', 'UGF2YW5kZWVwICJQYXYiIFBhdWw=']"
Entertainment: Television,multiple,medium,V2hvIHdhcyB0aGUgd2lubmVyIG9mIHRoZSAyMDE2IFdXRSBSb3lhbCBSdW1ibGU\/,VHJpcGxlIEg=,"['Um9tYW4gUmVpZ25z', 'QUogU3R5bGVz', 'RGVhbiBBbWJyb3Nl']"
Entertainment: Television,multiple,medium,V2hhdCBpcyBNZWcncyBmdWxsIG5hbWUgaW4gIkZhbWlseSBHdXkiPw==,TWVnYXRyb24gR3JpZmZpbg==,"['V2hvLUNhcmVzIEdyaWZmaW4=', 'TmVpbCBHcmlmZmlu', 'TWVnYW4gR3JpZmZpbg==']"
Entertainment: Television,multiple,easy,SW4gc2Vhc29uIG9uZSBvZiB0aGUgTmV0ZmxpeCBwb2xpdGljYWwgZHJhbWEgIkhvdXNlIG9mIENhcmRzIiwgd2hhdCBnb3Zlcm5tZW50IHBvc2l0aW9uIGRvZXMgRnJhbmsgVW5kZXJ3b29kIGhvbGQ\/,SG91c2UgTWFqb3JpdHkgV2hpcA==,"['QXR0b3JuZXkgR2VuZXJhbA==', 'UHJlc2lkZW50', 'Q2hpZWYgb2YgU3RhZmY=']"
Entertainment: Television,multiple,easy,QnJpdGlzaCBhY3RvciBEYXZpZCBNb3JyaXNzZXkgc3RhcnMgYXMgd2hpY2ggcm9sZSBpbiAiVGhlIFdhbGtpbmcgRGVhZCI\/,VGhlIEdvdmVybm9y,"['TmVnYW4=', 'UmljayBHcmltZXM=', 'RGFyeWwgRGl4b24=']"
Entertainment: Television,multiple,hard,SW4gIkRvbmtleSBLb25nIENvdW50cnkiLCB3aHkgZG9lcyBEb25rZXkgS29uZyB3YW50IHRvIGtub3cgdGhlIHNlY3JldCBvZiB0aGUgY3J5c3RhbCBjb2NvbnV0Pw==,SGUncyB0aGUgYmlnIGthaHVuYS4=,"['VG8gZmluZCBvdXQgd2hlcmUgYWxsIHRoZSBiYW5hbmFzIGFyZS4=', 'QmVjYXVzZSBEaWRkeSBLb25nIGZvcmNlZCBoaW0u', 'SGUgd2FudHMgdG8gcHVuaXNoIGJydXRlcy4=']"
Entertainment: Television,multiple,medium,SW4gdGhlIHRlbGV2aXNpb24gc2hvdyAiTGF6eSBUb3duIiwgd2hvIGlzIHRoZSBhY3RvciBvZiBSb2JiaWUgUm90dGVuPw==,U3RlZsOhbiBTdGVmw6Fuc3Nvbg==,"['QWRhbSBTYW5kbGVy', 'TWFnbsO6cyBTY2hldmluZw==', 'U3RlcGhlbiBDYXJs']"
Entertainment: Television,boolean,medium,SW4gIlN0YXIgVHJlayIsIEtsaW5nb25zIHJlc3BlY3QgV2lsbGlhbSBTaGFrZXNwZWFyZSwgdGhleSBldmVuIHN1c3BlY3QgaGltIGhhdmluZyBhIEtsaW5nb24gbGluZWFnZS4=,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,boolean,medium,SW4gIlN0YXIgVHJlayIsIEtsaW5nb25zIGFyZSBjb21tb25seSByZWZlcnJlZCB0byBhcyAiQmxhY2sgRWx2ZXMiLg==,RmFsc2U=,['VHJ1ZQ==']
Entertainment: Television,boolean,easy,SW4gIlN0YXIgVHJlayIsIEtsaW5nb25zIGFyZSBhbGllbnMu,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,hard,V2hpY2ggcmFjZSBlbmpveXMgYSBnbGFzcyBvZiB3YXJtIGJhZ2hvbCBpbiAiU3RhciBUcmVrIj8=,S2xpbmdvbg==,"['VnVsY2Fu', 'SHVtYW4=', 'Qm90aGE=']"
Entertainment: Television,multiple,hard,SW4gIlN0YXIgVHJlayIsIHdoYXQgaXMgdGhlIEtsaW5nb24gZGVsaWNhY3kgb2YgImdhZ2giIG1hZGUgZnJvbT8=,U2VycGVudCB3b3Jtcw==,"['RWFydGh3b3Jtcw==', 'U3BhZ2hldHRpIG5vb2RsZXM=', 'S2xpbmd3b3Jtcw==']"
Entertainment: Television,multiple,easy,SG93IG1hbnkgc2Vhc29ucyBkaWQgdGhlIFNjaS1GaSB0ZWxldmlzaW9uIHNob3cgIlN0YXJnYXRlIEF0bGFudGlzIiBoYXZlPw==,NQ==,"['MTA=', 'Mg==', 'Nw==']"
Entertainment: Television,multiple,medium,V2hhdCBicmVlZCBvZiBkb2cgaXMgIlNjb29ieSBEb28iPw==,R3JlYXQgRGFuZQ==,"['UGl0IGJ1bGw=', 'Qm94ZXI=', 'RG9iZXJtYW4gUGluc2NoZXI=']"
Entertainment: Television,multiple,hard,SW4gMjAwOCwgQnJpdGlzaCBjZWxlYnJpdHkgY2hlZiBHb3Jkb24gUmFtc2F5IGJlbGlldmVzIGhlIGFsbW9zdCBkaWVkIGFmdGVyIHN1ZmZlcmluZyB3aGF0IGFjY2lkZW50IGluIEljZWxhbmQgd2hpbGUgZmlsbWluZz8=,U2xpcHBpbmcgb2ZmIGEgY2xpZmYsIGFuZCBuZWFybHkgZHJvd25pbmcgaW4gaWN5IHdhdGVy,"['Q3Jhc2ggbGFuZGluZyB3aGVuIGFycml2aW5nIGF0IEtlZmxhdsOtayBhaXJwb3J0', 'QSBtaW5vciBjYXIgYWNjaWRlbnQgaW4gYSBzbm93c3Rvcm0=', 'QmVpbmcgc2VydmVkIHVuZGVyLWNvb2tlZCBjaGlja2VuIGF0IGhpcyBob3RlbA==']"
Entertainment: Television,multiple,medium,V2hpY2ggb2YgdGhlIGZvbGxvd2luZyB3YXMgbm90IGFuIGFjdG9yL2FjdHJlc3Mgb24gdGhlIEFtZXJpY2FuIHRlbGV2aXNpb24gc2hvdyAiU2F0dXJkYXkgTmlnaHQgTGl2ZSIgaW4gU2Vhc29uIDQyPw==,VGluYSBGZXk=,"['TWlrZXkgRGF5', 'S2F0ZSBNY0tpbm5vbg==', 'U2FzaGVlciBaYW1hdGE=']"
Entertainment: Television,multiple,medium,SW4gQmF0dGxlc3RhciBHYWxhY3RpY2EgKDIwMDQpLCB3aGF0IGlzIHRoZSBuYW1lIG9mIHRoZSBQcmVzaWRlbnQgb2YgdGhlIFR3ZWx2ZSBDb2xvbmllcz8=,TGF1cmEgUm9zbGlu,"['V2lsbGlhbSBBZGFtYQ==', 'VHJpY2lhIEhlbGZlcg==', 'SGFycnkgU3RpbGxz']"
Entertainment: Television,multiple,medium,V2hhdCBpcyB0aGUgbmFtZSBvZiB0aGUgbWFpbiBhbnRhZ29uaXN0cyBpbiBCYXR0bGVzdGFyIEdhbGFjdGljYT8=,VGhlIEN5bG9ucw==,"['VGhlIENvbGxlY3RpdmU=', 'VGhlIEZlZGVyYXRpb24=', 'VGhlIFJlYmVscw==']"
Entertainment: Television,multiple,hard,V2hhdCB3YXMgdGhlIGNhbGxzaWduIG9mIENvbW1hbmRlciBXaWxsaWFtIEFkYW1hIGluIEJhdHRsZXN0YXIgR2FsYWN0aWNhICgyMDA0KT8=,SHVza2Vy,"['U3RhcmJ1Y2s=', 'QXBvbGxv', 'Q3Jhc2hkb3du']"
Entertainment: Television,multiple,hard,V2hhdCB3YXMgdGhlIG5hbWUgb2YgdGhlIGluZmxhdGFibGUgZHVjayBzYWNyaWZpZWQgdG8gdGhlIGNyb3dkIGF0IHRoZSBlbmQgb2YgRXBpc29kZSAzNCBvZiB0aGUgMTh0aCBzZWFzb24gb2YgQmlnIEJyb3RoZXI\/,UGFibG8=,"['RXN0ZWJhbg==', 'Q2FybG9z', 'RHVja3N0ZXI=']"
Entertainment: Television,multiple,easy,SW4gIlN0YXIgVHJlazogVm95YWdlciIsIHdoaWNoIGVwaXNvZGUgZGlkIFZveWFnZXIgZXN0YWJsaXNoIHJlYWwtdGltZSBjb21tdW5pY2F0aW9uIHdpdGggU3RhcmZsZWV0IEhlYWRxdWFydGVycz8=,UGF0aGZpbmRlcg==,"['TWVzc2FnZSBJbiBBIEJvdHRsZQ==', 'U29tZW9uZSBUbyBXYXRjaCBPdmVyIE1l', 'Q291bnRlcnBvaW50']"
Entertainment: Television,multiple,hard,UHJpb3IgdG8gd29ya2luZyBhdCBXaXphcmRzIG9mIHRoZSBDb2FzdCwgIk1hcmsgUm9zZXdhdGVyIiB3YXMgYSB3cml0ZXIgZm9yIHdoaWNoIHNob3c\/,Um9zZWFubmU=,"['Qm95IE1lZXRzIFdvcmxk', 'VGhlIFgtRmlsZXM=', 'TllQRCBCbHVl']"
Entertainment: Television,boolean,medium,QW4gZXBpc29kZSBvZiAiVGhlIFNpbXBzb25zIiBpcyBkZWRpY2F0ZWQgdG8gTW9lIFN6eXNsYWsncyBiYXIgcmFnLg==,VHJ1ZQ==,['RmFsc2U=']
Entertainment: Television,multiple,medium,V2hpY2ggV1dGIHdyZXN0bGVyIGhhZCB0aGUgbmlja25hbWUgIlRoZSBBeWF0b2xsYWggb2YgUm9jayAnTicgUm9sbGEiPw==,Q2hyaXMgSmVyaWNobw==,"['TWFydHkgSmFubmV0dHk=', 'U2NvdHQgSGFsbA==', 'U2hhd24gTWljaGFlbHM=']"
Entertainment: Television,multiple,medium,IlRoZSBBIFRlYW0iIGZpcnN0IGFpcmVkIGluIHRoZSBVU0EgYW5kIGluIHRoZSBVSyBpbiB3aGF0IHllYXI\/,MTk4Mw==,"['MTk4MQ==', 'MTk4NQ==', 'MTk4Nw==']"
Entertainment: Television,multiple,hard,V2hpY2ggYWN0b3IgZnJvbSBUaGUgWW91bmcgT25lcyBhbHNvIHBsYXllZCBMb3JkIEZsYXNoaGVhcnQgaW4gb25lIGVwaXNvZGUgb2YgQmxhY2thZGRlciBJST8=,UmlrIE1heWFsbA==,"['QWRyaWFuIEVkbW9uZHNvbg==', 'TmlnZWwgUGxhbmVy', 'Q2hyaXN0b3BoZXIgUnlhbg==']"
Entertainment: Television,multiple,medium,SW4gR2FtZSBvZiBUaHJvbmVzIHdoYXQgaXMgdGhlIG5hbWUgb2YgSm9uIFNub3cncyBzd29yZD8=,TG9uZ2NsYXc=,"['T2F0aGtlZXBlcg==', 'V2lkb3cncyBXYWls', 'TmVlZGxl']"
Entertainment: Television,multiple,easy,V2hhdCBUViBzaG93IGlzIGFib3V0IGEgZ3JhbmRmYXRoZXIgZHJhZ2dpbmcgaGlzIGdyYW5kc29uIGFyb3VuZCBvbiBhZHZlbnR1cmVzPw==,UmljayAmIE1vcnR5,"['RmFtaWx5IEd1eQ==', 'U291dGggUGFyaw==', 'QW1lcmljYW4gRGFk']"
